,index,original_smiles,output_smiles,energy,molecular_dipole_norm,molecular_polarizability_mean,homo_lumo_gap,zero_point_energy,atomization_energy,xyz
0,0,[O:1]([C@@:2]1([C:3]([H:11])([H:12])[H:13])[C:4]2([O:5][C@@:6]1([C:7]([H:15])([H:16])[H:17])[H:14])[C:8]([H:18])([H:19])[C:9]2([H:20])[H:21])[H:10],[O:1]([C@@:2]1([C:3]([H:11])([H:12])[H:13])[C:4]2([O:5][C@@:6]1([C:7]([H:15])([H:16])[H:17])[H:14])[C:8]([H:18])([H:19])[C:9]2([H:20])[H:21])[H:10],-29.202214992284535,1.1184548078350918,-46.75407474926436,0.32087523521200234,110.93178910390198,4.36000269662787,"[[1, -0.23543320907805235, 1.6630178481013447, 1.0413548305877927], [2, -0.31624140534962397, 0.6817978654987137, 0.03746418709032299], [3, -0.6819425760746083, 1.2897013139985625, -1.310141128301669], [4, 0.8299187278004401, -0.33011878794968535, -0.0037576816412826252], [5, -0.023591669697121873, -1.4112048951765976, 0.3328891292409662], [6, -1.1439593460658477, -0.5313009937136247, 0.5250642857609307], [7, -2.383728803310241, -0.9520543992277734, -0.23520089927124302], [9, 2.220941856387618, -0.1936174949188754, 0.5156961826999994], [8, 1.9749465857266006, -0.44980993697170507, -0.9512133743195639], [10, 0.3591983884156284, 2.3638018498004274, 0.7503587153779062], [11, 0.06771477878314902, 2.02850555058997, -1.5923355278651616], [12, -1.6487342684903787, 1.7827544133955837, -1.242979001581487], [13, -0.7183330763157527, 0.524473493803028, -2.0790958643140494], [14, -1.363439227710246, -0.4280707225653242, 1.5941574972620856], [15, -2.767561349277758, -1.8745001577082052, 0.19234817918377775], [16, -2.152127369038259, -1.1297929711004993, -1.2814427177405285], [17, -3.1436256122194504, -0.17969331907316535, -0.15567858493234701], [20, 2.6117724673196765, -1.0038940345085254, 1.1099141549134595], [21, 2.5582267858306555, 0.7849690532412152, 0.8233393859180365], [18, 2.1493710812679256, 0.35124009818433144, -1.6536658427720685], [19, 2.201716113137104, -1.4326705412440042, -1.332645359604726]]"
1,1,[O:1]([C@@:2]12[C:3]([H:11])([H:12])[N@@+:4]3([H:13])[C:5]([H:14])([H:15])[C@:6]1([H:16])[C:7]([H:17])=[C:8]([H:18])[C@@:9]23[H:19])[H:10],[O:1]([C@@:2]12[C:3]([H:11])([H:12])[N@@+:4]3([H:13])[C:5]([H:14])([H:15])[C@:6]1([H:16])[C:7]([H:17])=[C:8]([H:18])[C@@:9]23[H:19])[H:10],-26.603290547068667,1.952839630024832,-48.83904310975959,0.1749327226466726,100.25893414281893,3.710323591673145,"[[1, -1.4881382321630432, 1.5418694654811274, -0.1226136716254815], [2, -0.775787501957406, 0.39262465177012124, -0.12106576545991607], [3, -1.4130521429368574, -1.0125484777180849, 0.04578202431945513], [11, -2.141683151913725, -1.0370960781345284, 0.8535750910287448], [12, -1.7796351259870307, -1.5526240283072927, -0.8247000322808071], [4, -0.04993020377286622, -1.3921365537682924, 0.4923382191638465], [13, 0.10729683565879268, -2.223588169136473, 1.061092529014073], [5, 0.7040564915698435, -1.3116369213538095, -0.7737343308160772], [14, 0.29036578435269045, -2.004602971489926, -1.505646899736819], [15, 1.7635533495639213, -1.5226501886846842, -0.6306089163220326], [6, 0.4350018254222344, 0.1824654764891317, -1.0985430488578112], [16, 0.2800601350968759, 0.42070607731617754, -2.145389541812468], [7, 1.5536078055126545, 0.9021927015612766, -0.39024977832258023], [17, 2.364996305242652, 1.3906420980109768, -0.8941946212954737], [8, 1.3940547628290176, 0.7056980965675862, 0.9168426274052875], [18, 2.0308270720799912, 1.0159769811555717, 1.722057138753706], [9, 0.09019412124501455, 0.025077781090913676, 1.1138595828590059], [19, -0.366856190583273, 0.06090146135903789, 2.0964734315103937], [10, -1.9239839975156423, 1.7071222401480675, -0.9684520698729568]]"
2,0,[c:1]1([H:9])[c:2]([H:10])[n:3]([H:11])[c:4]2[c:5]1[C:6]([H:12])([H:13])[C:7]([H:14])=[C:8]2[H:15],[c:1]1([H:9])[c:2]([H:10])[n:3]([H:11])[c:4]2[c:5]1[C:6]([H:12])([H:13])[C:7]([H:14])=[C:8]2[H:15],-21.447867984539815,0.5375301861724039,-55.08265454898685,0.12332115863759158,75.19337687658388,3.508721311302047,"[[1, -1.3331481612440388, -1.171014595012334, 5.39492464623208e-06], [2, -2.1146898239051564, -0.03792755758100393, 3.0477821723554607e-05], [3, -1.3179065146125033, 1.0726583102800507, 9.58578424207743e-06], [4, -0.027035964824937968, 0.6580213087269864, -4.885816729398966e-05], [5, -0.0033186760790042333, -0.7281822541945594, -6.224632256026965e-05], [6, 1.416398052967011, -1.1808745738382218, 1.3224257535647546e-05], [7, 2.1540686764428254, 0.13398832491183008, 2.8599970375115163e-05], [8, 1.308723082393657, 1.1800182896782694, 2.9357738936999215e-06], [9, -1.6921200737003816, -2.181595245838675, 6.752982689777063e-06], [10, -3.1835182760362732, 0.05240402003687031, 5.1229163520240446e-05], [11, -1.6465594912756711, 2.0235332017362015, 1.6779151058453035e-05], [12, 1.6694980648801916, -1.775633265737251, -0.8801686687726086], [13, 1.669366932500719, -1.77556454820929, 0.8802817147441027], [14, 3.2281081445926065, 0.18428470847963394, 4.265476287724602e-05], [15, 1.5745115416836275, 2.222353075619791, -5.565956266752976e-07]]"
3,1,[N:1]1([H:10])[C:2]([H:11])([H:12])[C@@:3]2([H:13])[N@@+:4]3([H:14])[C:5]([H:15])([H:16])[C:6](=[O:7])[C@@:8]12[C:9]3([H:17])[H:18],[N+:1]1([H:10])([H:19])[C:2]([H:11])([H:12])[C@@:3]2([H:13])[N:4]3[C:5]([H:15])([H:16])[C:6](=[O:7])[C@@:8]12[C:9]3([H:17])[H:18],-26.76671638918779,2.365431741658246,-49.695412918801686,0.12382014733887248,91.98399943847222,3.4538844888216538,"[[1, 1.7490991964603502, 0.27098132494768484, 0.5357699294111387], [2, 1.4825125224795286, 0.6868603616086328, -0.921122464596249], [3, 0.08856266129279403, 1.203361652389444, -0.4709886224276344], [4, -1.400120604751833, 0.8118087983862952, -0.3767615175055954], [5, -1.4366851069839544, -0.6116821791913046, -0.7200780972134446], [6, -0.21507119330279384, -1.0832117312135299, 0.026680846143353948], [7, 0.3723730358924949, -2.1145257031699063, 0.11224396059767769], [8, 0.2322365874594357, 0.2616646001170135, 0.6724370590927617], [9, -1.180419466062272, 0.7719900393233426, 1.10770501874951], [10, 2.267776992332132, 0.9716934154249608, 1.0737485292824565], [19, 2.177134197515198, -0.6579258957359717, 0.677400450674842], [11, 1.4932262510827718, -0.18455389842712616, -1.5724157549608144], [12, 2.1708491805093053, 1.4461099105815531, -1.285381818447549], [13, 0.11723769004936285, 2.2707203865329477, -0.2618102778366879], [15, -2.367249922624855, -1.0728765302450143, -0.3891044215005508], [16, -1.3454471353648305, -0.7642838116759902, -1.7970374241886649], [17, -1.822368867781931, 0.09398346237272132, 1.6651938441091478], [18, -1.1911664671392992, 1.7698975981721323, 1.536940461830796]]"
4,3,[C:1]([O:2][C@@:3]12[C:4]([H:13])([H:14])[N@@+:5]3([H:15])[C:6]([H:16])([H:17])[C@:7]1([C:8]([H:18])([H:19])[H:20])[C@@:9]23[H:21])([H:10])([H:11])[H:12],[C:1]([O:2][C@@:3]12[C:4]([H:13])([H:14])[N@@+:5]3([H:15])[C:6]([H:16])([H:17])[C@:7]1([C:8]([H:18])([H:19])[H:20])[C@@:9]23[H:21])([H:10])([H:11])[H:12],-27.60004635635234,2.349557657608371,-49.816050992661246,0.2623798621473655,112.7127403384717,3.917479839171623,"[[1, 2.7826981525135692, -0.11140864286018781, -0.20302111886519347], [2, 1.6365797143404734, 0.5367989514699886, 0.3498160369320099], [3, 0.45554924467215524, -0.07073790587241331, 0.17383393911201683], [4, 0.03326784512154697, -1.4946201572363826, 0.5789760537804549], [13, 0.7042459523771597, -2.2558270090069388, 0.1832636418795239], [14, -0.20335232255744462, -1.698914546673425, 1.6232668428548713], [5, -1.143169537195464, -1.2983017793880856, -0.30431194128003586], [15, -1.6038177471943327, -2.1116924919190607, -0.7114888131249643], [6, -1.9514952402889862, -0.25844060122715334, 0.38646686622442666], [16, -2.164179920752603, -0.46637200901804, 1.4349559955028777], [17, -2.872175742459142, -0.04555442310447347, -0.15515386370900985], [7, -0.8398330704142709, 0.721715146075749, 0.030111927034106926], [8, -0.9157848393980392, 2.209751932299022, 0.05143479961438336], [18, 0.013665228980513549, 2.631699613115937, -0.3207033480886336], [19, -1.0639888136102642, 2.556144611981067, 1.0715746796885361], [20, -1.7413362484278927, 2.563323019528184, -0.5620649124343634], [9, -0.41225958389310075, -0.2178473182494853, -1.0798735040142209], [21, -0.3100844555304049, -0.1643408990855565, -2.1452458012049016], [10, 2.6566363349239683, -0.2852384837727945, -1.2740517512283167], [11, 3.6083521380211163, 0.575478511973281, -0.03811030973885934], [12, 2.9873017506341633, -1.0537008172535285, 0.3094913076922516]]"
5,1,[N:1]1([H:10])[C@@:2]2([H:11])[C@@:3]3([C:4]#[N:5])[O:6][C@@:7]3([H:12])[C@@:8]12[C:9]([H:13])([H:14])[H:15],[N+:1]1([H:10])([H:16])[C@@:2]2([H:11])[C@@:3]3([C:4]#[N:5])[O:6][C@@:7]3([H:12])[C@@:8]12[C:9]([H:13])([H:14])[H:15],-25.742619937116253,3.4609823228942176,-48.61467540940492,0.17628044580396407,76.28154126262403,3.2193875985353166,"[[1, -1.3685487701371966, 0.684419875629425, -1.0188654174506322], [2, -0.37322099383569557, -0.38675837040582645, -0.9794671206908401], [3, 0.7698936226090951, 0.1185458477676322, -0.021782978130971895], [4, 2.117424021417367, -0.3288998681082039, -0.04667693949972009], [5, 3.194460471023485, -0.70364371890245, -0.07717553591007524], [6, 0.37836770336265196, 1.3671272583495258, 0.46553926755985825], [7, -0.21934578117142522, 0.2694025431287024, 1.0684073167088202], [8, -1.355624545468211, -0.2547665508668287, 0.12191530596270393], [9, -2.557342494993255, -1.0186291356826658, 0.5357657374609106], [10, -2.1268102260888675, 0.6348255208125434, -1.6969416429602602], [16, -1.0010221494944123, 1.6329983753945985, -0.8284477614365096], [11, -0.24964034101319346, -1.0763385428149232, -1.797157257598041], [12, -0.1413266311224669, 0.11139513607496927, 2.1290773065935134], [13, -3.0950334536178192, -1.408097566802985, -0.3258995142889658], [14, -3.2260387085230313, -0.38945489681041756, 1.1216844368842023], [15, -2.256343759692986, -1.8597089223188508, 1.1577616474909362]]"
6,1,[O:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[O:4][C@:5]([C:6]([H:15])([H:16])[H:17])([H:14])[C@:7]1([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:18])[H:10],[O:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[O:4][C@:5]([C:6]([H:15])([H:16])[H:17])([H:14])[C@:7]1([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:18])[H:10],-30.26667760762263,0.6821453573502961,-47.26822391601439,0.40317457903012244,126.56761814273219,4.634865750180765,"[[1, -0.6622754049126967, -1.7639367801964334, 0.8206278996188163], [2, -0.7694372935293102, -1.084654545986507, -0.4108872344557582], [3, -1.9653817633577568, -0.10360097415260688, -0.4406438057429822], [4, -1.443893333440047, 1.2028282267378823, -0.5506500952976493], [5, -0.09929709987194432, 1.1889479400911087, -0.08977834306447971], [6, -0.026112463616625347, 1.332756214230517, 1.429345623418423], [7, 0.4415850913488426, -0.15354594688253378, -0.6177541465937316], [8, 1.734566662569087, -0.6722735828137989, -0.0012358618156770751], [9, 2.927274291561928, 0.21029248849620114, -0.34692087145116457], [10, -1.4264623485550412, -2.339410624345413, 0.9271323356321227], [11, -0.8410128702170927, -1.8183619138918434, -1.2260199802570388], [12, -2.550421694500242, -0.2066072130231138, 0.48468510079130145], [13, -2.6253333248278174, -0.268155093221549, -1.2964676376695072], [14, 0.38621614543600513, 2.0450776539929074, -0.5677865224137859], [15, 0.9949056559243252, 1.5268378740333661, 1.7439816254007905], [16, -0.6519634015055047, 2.167957610668513, 1.7351749184515415], [17, -0.380885788768377, 0.42720975057528565, 1.9132376132446924], [18, 0.581924306755412, -0.0425207931755307, -1.6985754163679343], [19, 1.6208919106844524, -0.7484853474387773, 1.0785425335596517], [20, 1.9086672909250249, -1.6808450626866256, -0.38229753273720907], [21, 3.054727305238705, 0.27665461968447164, -1.4253864591719256], [22, 3.837316768206108, -0.20389238783453958, 0.08062961171775787], [23, 2.792614480263749, 1.2161927480940649, 0.04223111926765199]]"
7,0,[C:1]([C@@:2]1([H:13])[C:3]([H:14])([H:15])[C@:4]2([H:16])[C:5]([H:17])([H:18])[C@@:6]1([H:19])[C:7]([H:20])([H:21])[C@:8]2([C:9]([H:23])([H:24])[H:25])[H:22])([H:10])([H:11])[H:12],[C:1]([C@:2]1([H:13])[C:3]([H:14])([H:15])[C@:4]2([H:16])[C:5]([H:17])([H:18])[C@@:6]1([H:19])[C:7]([H:20])([H:21])[C@@:8]2([C:9]([H:23])([H:24])[H:25])[H:22])([H:10])([H:11])[H:12],-27.462440812360523,0.03910431285854901,-54.075515694698645,0.443923122658785,144.8191993069979,4.989650401811783,"[[1, 2.3977268548152963, -0.9367896210383464, -0.5090602468209549], [2, 1.6095310446001838, 0.2145991121832907, 0.10160865509203149], [3, 0.8071354906406089, 1.0359882149968316, -0.9345091886507951], [4, -0.618436075056512, 1.0172546449069662, -0.37207294058214535], [5, -0.34808523453491896, 1.0657563448392933, 1.1315594515767462], [6, 0.5266842525785597, -0.18777246077956816, 1.1209378554922278], [7, -0.4405752919000099, -1.2090545258346568, 0.5166639475722185], [8, -1.189477100710146, -0.3994199908194177, -0.5644316651269188], [9, -2.7041735116890435, -0.45476529410025146, -0.4003439501951775], [10, 2.8198048105631264, -1.5656861940195002, 0.27246778997128074], [11, 3.2151812052332343, -0.5467558322332751, -1.1124025052492243], [12, 1.77214269824978, -1.5518173230893348, -1.150409805871131], [13, 2.3232114882037744, 0.8677328226433021, 0.6152323317011167], [14, 0.8559649624335394, 0.5932748911540378, -1.9292596869461887], [15, 1.1821293360221918, 2.0577775283255275, -1.0045255697246844], [16, -1.2594193285955038, 1.8010869515686467, -0.7738654388085863], [17, 0.18759695572603438, 1.9631511744737051, 1.4370648977523242], [18, -1.2444742578892498, 0.957425138000323, 1.7388478162566519], [19, 0.9385071481644424, -0.49785210169247085, 2.0812196181369793], [20, -1.135846372590098, -1.5526452104474155, 1.284509814920623], [21, 0.06484124204927529, -2.0844123110785806, 0.11527950569749965], [22, -0.9457004192875081, -0.7680978461635268, -1.5651562021942862], [23, -3.0548759077047767, -1.4825605205670631, -0.4707206510081092], [24, -3.1929213863122925, 0.12693696528041187, -1.1796480907639737], [25, -3.006735046504803, -0.05492429771780458, 0.5646980298226694]]"
8,0,[C:1]1([H:10])=[N:2][C:3]([H:11])([H:12])[C:4](=[O:5])[C@:6]([O:7][C:8]([H:14])([H:15])[H:16])([H:13])[O:9]1,[C:1]1([H:10])=[N:2][C:3]([H:11])([H:12])[C:4](=[O:5])[C@:6]([O:7][C:8]([H:14])([H:15])[H:16])([H:13])[O:9]1,-29.372282533727994,1.0998654955277498,-45.46819659062866,0.10651384380772422,74.71813272894602,3.715093912331948,"[[1, -0.5288366427579013, 1.7151672203700585, 0.32501920143846785], [2, -1.3850740942078121, 1.3621541142512208, -0.5147523051461272], [3, -1.5264592890840016, -0.030522972363692356, -0.8668283844610025], [4, -0.807230017264928, -0.9562982074094138, 0.07037417444340234], [5, -1.200658700207401, -2.0194677371296863, 0.46423277771189647], [6, 0.5422732060185168, -0.36212735866942436, 0.5034286923203811], [7, 1.3529468385546655, -0.3957396866286197, -0.6280838266430864], [8, 2.719263815800286, -0.1254429674253942, -0.373395925707972], [9, 0.3813292152358097, 0.9660737588700498, 0.9841878792092933], [10, -0.4668768653825915, 2.7552745946931014, 0.6183663313173071], [11, -2.5930290009781523, -0.265994922926647, -0.9109236010496882], [12, -1.105828450361015, -0.1719069059848415, -1.8708026731203926], [13, 0.9815638767428423, -0.9308803621134464, 1.338044158373496], [14, 2.8487595065323914, 0.8669861701550816, 0.06661064445014994], [15, 3.1424523040316155, -0.879027033339353, 0.2984702584553125], [16, 3.215378450118548, -0.1699869701270749, -1.3398064319953624]]"
9,0,[O:1]([C@:2]1([H:11])[C@@:3]2([H:12])[O:4][C@:5]1([C:6]([H:13])([H:14])[H:15])[C@:7]1([H:16])[C:8]([H:17])([H:18])[C@:9]21[H:19])[H:10],[O:1]([C@:2]1([H:11])[C@@:3]2([H:12])[O:4][C@:5]1([C:6]([H:13])([H:14])[H:15])[C@:7]1([H:16])[C:8]([H:17])([H:18])[C@:9]21[H:19])[H:10],-28.158108518146822,0.8891557631413808,-44.794555702340496,0.30880178920405893,98.17392664363595,4.105495784275352,"[[1, -1.5970914465708441, -1.4090488979002538, 0.586708745858281], [2, -1.1561458576966706, -0.48569705262011303, -0.3563820154624394], [3, 0.1911816701197593, -0.7592479495513476, -1.0531781665051285], [4, 0.31087181597922253, 0.657226642365882, -1.2395123291353336], [5, -0.32027625552699, 0.7656368996790249, 0.058063839345724205], [6, -0.9215094301034091, 2.0983677304830253, 0.4084252260892655], [7, 0.7203037215741326, 0.1310140766941033, 0.9981844243186484], [8, 2.106762600723084, 0.03150297817024628, 0.43854899553478616], [9, 1.1101322680267387, -1.046113921249738, 0.1414546957084099], [10, -2.380924955015534, -1.062004657496054, 1.0253743973417322], [11, -1.9353357028298288, -0.2170149633593173, -1.0800297758462778], [12, 0.2847578556243466, -1.35659675631855, -1.9538297502531605], [13, -1.6431692977233499, 2.396701513912881, -0.3483123484556028], [14, -0.1366466807534403, 2.8490995135608035, 0.45691108729051705], [15, -1.4154168015115265, 2.0370406348672714, 1.3755661018452567], [16, 0.5156843123876809, 0.09098283678330958, 2.0544399065535464], [17, 2.394094618031284, 0.7042023929863953, -0.3548354480781023], [18, 2.8963236480702172, -0.2130709343601606, 1.1328275753034762], [19, 1.216576032471432, -2.059446763983761, 0.4857801277656491]]"
